마번,마명,성별,연령,산지,level,스피드(100),수득상금(100),부담력(100),지구력(100),우승거리(100),레이팅,총경기,1st,2st,3st,수득상금(천원),조교사이름,조교사번호,마주,부마명,부마번,총경기_F,1st_F,2st_F,3st_F,모마명,모마번,총경기_M,1st_M,2st_M,3st_M
43318,지산군,1,4,0,3,53.74,49.39,61.35,58.94,45.46,,16,3,2,2,"99,550",안해양,26,(주)인펨,커널존,38332.0,15.0,6.0,3.0,1.0,미스메리트,22153.0,24.0,3.0,3.0,3.0
45086,지스타,0,3,0,5,48.49,44.03,52.46,66.36,50.06,,8,1,1,0,"26,950",안해양,26,(주)인펨,메니피,20256.0,11.0,5.0,4.0,1.0,꽃마루,29130.0,27.0,2.0,0.0,4.0
44239,질주대세,2,3,0,5,64.24,68.12,34.67,60.36,50.06,,2,1,1,0,"22,550",휴양마,999,김창표,빅스,41559.0,3.0,0.0,2.0,0.0,동남대로,33167.0,12.0,1.0,0.0,1.0
42143,질주본,0,4,0,4,62.62,48.34,61.35,62.02,43.19,,13,2,2,4,"106,110",최영주,3,박준배,애니기븐새터데이,36358.0,11.0,6.0,2.0,1.0,스테인드글라스,33121.0,31.0,4.0,4.0,5.0
44493,질주에바다,1,3,0,5,41.15,40.31,52.46,59.77,5.0,,13,0,1,2,"21,000",휴양마,999,고재완,애니기븐새터데이,36358.0,11.0,6.0,2.0,1.0,사이치,34916.0,1.0,0.0,0.0,0.0
40792,질주의꿈,2,5,0,4,52.46,51.83,30.23,59.58,36.33,,15,2,1,0,"71,690",전승규,25,박남성,아치아치아치,40056.0,7.0,3.0,1.0,1.0,스마티비곤,38362.0,3.0,0.0,0.0,1.0
44249,질주의칸,2,3,0,5,36.89,42.29,34.67,48.11,50.06,,7,1,0,0,"23,250",휴양마,999,희망홀스,카우보이칼,38391.0,19.0,7.0,5.0,2.0,으뜸칸,26797.0,21.0,5.0,3.0,1.0
45581,질풍한별,2,2,0,6,33.36,36.82,5.0,59.96,5.0,,1,0,0,0,0,구자흥,7,고창범,선더모카신,33119.0,2.0,2.0,0.0,0.0,질풍당당,31557.0,7.0,1.0,1.0,1.0
45238,짜릿한자유,1,2,0,6,30.89,36.82,5.0,54.67,5.0,,2,0,0,0,0,안병기,22,우태율,커널존,38332.0,15.0,6.0,3.0,1.0,아가워,40235.0,29.0,3.0,5.0,7.0
39891,짱콩,1,7,1,1,77.82,61.49,43.56,63.06,63.8,,28,5,4,5,"461,100",배대선,20,이태인,티즈웨이,40058.0,20.0,7.0,1.0,5.0,캐어리에터,46519.0,41.0,11.0,9.0,8.0
44489,차돌런,2,3,0,5,41.39,39.49,34.67,56.16,43.19,,12,1,0,1,"20,950",홍대유,6,전은영,AMERICAN FREEDOM,,,,,,머큐리얼메니스,41969.0,6.0,0.0,1.0,2.0
43764,차이밍보이,1,3,0,6,22.98,38.68,5.0,47.93,5.0,,5,0,0,1,"4,750",최봉주,16,곽승용,카우보이칼,38391.0,19.0,7.0,5.0,2.0,차이밍비카,26402.0,35.0,6.0,2.0,1.0
42703,찬란한날,1,4,0,4,48.83,43.92,52.46,55.98,60.36,,19,2,3,0,"87,840",임채덕,35,진교원,퍼지,39750.0,15.0,6.0,1.0,2.0,어번쇼커,33077.0,35.0,5.0,7.0,3.0
46598,찬란한불꽃,2,2,0,6,53.12,54.27,5.0,64.83,5.0,,1,0,0,1,"8,400",임채덕,35,진교원,한센,32990.0,9.0,5.0,2.0,0.0,한강제일,17728.0,42.0,7.0,4.0,5.0
45275,찬란한폭풍,1,2,0,6,41.59,38.1,5.0,61.85,5.0,,3,0,0,0,"2,400",임채덕,35,진교원,퍼지,39750.0,15.0,6.0,1.0,2.0,듀앨폭풍,31633.0,18.0,1.0,0.0,2.0
43685,참좋은친구,2,3,0,3,65.47,100.0,43.56,57.34,56.93,,9,3,1,2,"268,900",이준철,48,임한용,머스킷맨,36732.0,16.0,6.0,3.0,5.0,구글렛,31310.0,9.0,2.0,1.0,0.0
44531,채플프린세스,2,3,0,5,52.77,47.87,34.67,57.52,43.19,,7,1,1,0,"27,750",서범석,12,미즈타니 마사테루,채플로열,31302.0,7.0,3.0,2.0,1.0,아쿠아프린세스,40081.0,37.0,5.0,6.0,6.0
44267,챈슬러,1,3,0,5,43.24,42.99,52.46,54.54,43.19,,6,1,0,1,"19,350",홍대유,6,정이철,티즈원더풀,34835.0,5.0,3.0,1.0,0.0,디렉션,33016.0,2.0,1.0,0.0,1.0
40914,챌린지삭스,2,5,0,4,52.6,50.32,39.12,56.96,50.06,,19,2,2,3,"77,480",이관호,42,김창식,올드패션드,37972.0,6.0,4.0,2.0,0.0,캐쥬얼애티튜드,33100.0,23.0,9.0,3.0,4.0
43184,챔피언가문,0,4,0,5,49.79,42.52,56.9,51.99,50.06,,20,1,2,2,"58,250",최봉주,16,(주)늘푸른목장,티즈원더풀,34835.0,5.0,3.0,1.0,0.0,가문영광,14189.0,29.0,8.0,1.0,5.0
44008,챔피언함성,1,3,0,6,11.48,36.82,5.0,40.68,5.0,,7,0,0,0,0,이관호,42,황의영,지롤라모,40246.0,11.0,5.0,0.0,1.0,스틸골든,18111.0,20.0,1.0,3.0,3.0
41903,천군,0,5,1,4,53.35,41.47,61.35,55.93,56.93,,21,1,2,2,"69,150",이관호,42,황은호,GOLDENCENTS,6103967.0,18.0,7.0,7.0,0.0,RAPID DECISION,6818038.0,3.0,0.0,0.0,0.0
39113,천년의바람,0,6,0,4,53.94,43.1,52.46,56.77,39.76,,36,2,2,2,"92,240",휴양마,999,류화영,사이먼퓨어,31261.0,15.0,3.0,5.0,2.0,베스트코리안,22122.0,14.0,2.0,4.0,0.0
42487,천둥세자,1,4,0,4,54.48,41.24,52.46,57.15,50.06,,20,2,0,1,"58,470",김동균,52,김영근,모던카우보이,39812.0,32.0,12.0,4.0,3.0,팻츠이미지,34848.0,38.0,3.0,6.0,5.0
