마번,마명,성별,연령,레이팅1,수득상금(천원),마주,부마명,모마명,조교사이름,조교사번호,총경기,1st,2st,3st,산지,level
43556,로드반,1,5,76,"192,750",임종근,MALIBU MOON,MELANCHOLY,서범석,12,12,3,3,3,1,2
43662,로드에이스,1,3,31,"39,950",손병철,라이언산타,청산도,김동철,53,10,1,1,1,0,5
42355,로스트워,2,4,25,"19,040",피엔에스홈즈,TOURIST,아가워,휴양마,999,20,0,1,2,0,5
43201,로열로드,0,4,53,"101,240",손병현,어플릿익스프레스,오피서레이디,안병기,22,18,3,3,4,0,3
45844,로열장다크,2,2,0,0,이장호 ,영천에이스,고스틀리갤,최용건,51,1,0,0,0,0,6
43516,로열태리,1,5,36,"8,470",이장호 ,BODEMEISTER,SILKY OMEGA,강성오,9,5,0,0,0,1,4
44940,로열함성,0,5,36,"26,400",황의영,MONGOLIAN KHAN,TINKERMIA,이관호,42,22,0,0,2,1,4
44029,로즈골드,0,3,29,"27,850",황혜정,볼포니,로열리뷰,임채덕,35,11,0,2,2,0,5
52003,로터스미르,2,2,38,"3,750",허윤범,FROSTED,ERMINE SLIPPERS,서홍수,24,1,0,0,0,1,4
40946,록라인,1,5,75,"228,990",소태영,록하드텐,구룡령,최영주,3,26,5,3,3,0,2
43550,록의제왕,1,5,69,"187,720",정영식,CONSTITUTION,MAYAN MILAGRA,휴양마,999,18,3,2,2,1,2
46010,록임팩트,1,2,0,"4,800",본투런,록하드텐,마이티엔젤,박병일,27,4,0,0,0,0,6
43137,록파이터,1,4,48,"90,840",강승연,록하드텐,올블레싱즈,휴양마,999,16,3,2,2,0,4
44382,루나실버,2,3,42,"69,200",공이공팔,사이먼퓨어,로렌브레이,김동균,52,10,2,2,1,0,4
42418,루미너스퀸,2,4,44,"57,300",손학봉,사이먼퓨어,동해야,신삼영,41,9,2,2,0,0,4
41034,루이사,2,5,75,"293,770",김철,페더럴리스트,깍쟁이,최용건,51,25,4,6,4,0,2
38733,루킹굿,1,6,68,"196,770",신우철,페더럴리스트,퀘일런,전승규,25,19,4,0,6,0,2
42748,룰즈클래스,1,4,43,"81,790",송암축산,피스룰즈,플라잉라푼젤,휴양마,999,17,2,2,4,0,4
45841,리걸하이,2,2,0,"8,400",강균호,지롤라모,캡티브,휴양마,999,3,0,0,1,0,6
