마번,마명,모마성적
25228,마이더스빅터,14전(3/2/0)
25236,블루차밍,28전(4/2/4)
25249,선시드,11전(4/1/1)
25293,머스탱퀸,20전(5/5/1)
25308,여왕폐하,23전(3/1/1)
25316,달리자,17전(3/1/0)
25318,오스틴,12전(0/1/0)
25339,굿모닝,15전(3/1/2)
25452,퓨앤파비트윈,4전(1/1/0)
25475,다이아몬드드라고,0전(0/0/0)
25481,홀리버드,9전(0/0/1)
25484,앨리스프레모,15전(3/2/3)
25563,쿠킨아웃,19전(1/3/2)
25574,패리실튼,0전(0/0/0)
25605,새벽드림,7전(0/0/0)
25698,바잔키티,6전(0/0/0)
25699,네이티브벨,9전(1/2/2)
25707,퓨펄,10전(3/6/1)
25711,메인어브젝티브,1전(0/0/1)
25713,레인어브타라,11전(2/1/2)
25717,런라이트스루,18전(4/4/5)
25720,위스콘신걸,13전(2/1/0)
25723,위시미석세스,7전(2/1/1)
25724,댄싱스퀄,18전(3/1/2)
25735,와일드러시크릭,0전(0/0/0)
25737,인터처블,3전(0/1/1)
25738,루시판드,29전(3/4/3)
25742,로사로즈,13전(2/2/2)
25743,화이널멜로디,14전(1/3/2)
25744,베이비북,54전(13/21/4)
25745,스위트메리티,12전(1/0/1)
25747,메릴즈스피릿,21전(6/2/3)
25750,댄싱위드스타즈,12전(1/1/1)
25756,핫실버,9전(1/3/2)
25767,메시지레드,14전(6/5/1)
25773,스마트어드바이스,19전(3/2/2)
25780,선골드스키피,13전(1/1/1)
25782,킵유어윗어바웃유,22전(3/4/4)
25787,메이크마인미니,15전(2/4/4)
25808,캡티브,13전(4/2/1)
25833,엑스파일,40전(5/4/11)
25929,롱런드림,5전(2/1/0)
25983,파워풀미스지,10전(2/3/1)
26041,오버파워,22전(4/2/3)
26046,카밀라,24전(2/3/2)
26055,온리포윈,6전(0/0/0)
26075,불릿,10전(2/1/0)
26083,북대풍,26전(6/2/0)
26088,아이러브유,15전(3/0/1)
26108,쇼우타임,19전(2/2/2)
26109,로열스텝,55전(4/3/5)
26120,아이리스,26전(2/5/3)
26143,토치,17전(2/3/6)
26148,무한신조,26전(1/10/3)
26254,컨셉리처블,20전(5/3/1)
26257,제이스톤,18전(4/1/3)
26386,블랙탄,27전(2/6/1)
26402,차이밍비카,35전(6/2/1)
26440,빅타임,23전(4/2/1)
26454,아라제일,26전(1/6/4)
26457,풀문파티,32전(7/0/5)
26470,스위트뮤직,32전(3/2/3)
26491,워존챔프,13전(1/3/1)
26537,금따,23전(7/1/1)
26630,광야일출,22전(1/4/2)
26633,그레이트엔젤,5전(0/2/0)
26663,웰빙퀸,3전(1/0/1)
26703,조이너피스,15전(3/3/1)
26716,펠로스글로리,22전(1/1/1)
26737,축제,15전(0/4/1)
26766,천은,20전(6/2/1)
26785,킹덤레이스,25전(3/4/5)
26797,으뜸칸,21전(5/3/1)
26878,여의골드,25전(5/4/2)
26909,남행열차,5전(0/0/0)
27000,기적의천사,0전(0/0/0)
27002,싱그러운초원,20전(1/2/2)
27003,동해야,0전(0/0/0)
27005,별기,0전(0/0/0)
27049,짝꿍,26전(6/1/4)
27062,어메이징파티,4전(0/0/0)
27067,나르자,16전(2/1/3)
27068,동트자,22전(7/3/4)
27079,와이어와이어,22전(2/3/4)
27094,억순이,29전(3/2/3)
27143,위너트로피,19전(2/2/2)
27150,그랜드카라반,9전(0/0/0)
27163,금빛물결,23전(3/0/4)
27166,레모니시마,15전(0/1/4)
27215,록킹룰러,21전(2/1/4)
27228,임페리얼걸,32전(3/2/4)
27229,깍쟁이,23전(6/5/4)
27232,꽃여울,26전(1/8/4)
27304,뉴윈디,13전(3/2/1)
27425,빅파워,29전(4/2/2)
27436,레벨프라이드,22전(1/0/1)
27451,엔들리스헤로인,8전(1/0/0)
27476,콰이어트터치,5전(0/2/1)
27477,밋미인드림랜드,9전(2/0/1)
27479,엠파이어리더블드,0전(0/0/0)
27480,나필리베이,27전(4/5/7)
27482,프레리타운십,0전(0/0/0)
27485,캔들글로우,8전(0/2/3)
27487,싱섬싱컨트리,0전(0/0/0)
27497,소천하,69전(2/6/7)
27527,세미놀선샤인,0전(0/0/0)
27534,아이즈어글로우,0전(0/0/0)
27537,리얼로우즈,1전(1/0/0)
27538,스트링밴드,0전(0/0/0)
27539,골든데일,0전(0/0/0)
27542,플라이위너,26전(1/1/4)
27544,에스에스벨,47전(9/4/3)
27557,머제스틱엠프리스,2전(0/1/0)
27574,영크라운,23전(3/2/3)
27598,남산축제,39전(5/5/3)
27707,챔피언홀더,3전(0/0/0)
27712,푸른에너지,9전(3/2/0)
27718,폭스레이,12전(2/4/1)
27730,오리엔탈패스,11전(3/0/1)
27760,카이제린,11전(1/2/1)
27824,한샘가온,12전(0/0/0)
27886,럭키섀리,12전(4/1/0)
27923,라이런,8전(2/2/1)
27924,허리케인점프,18전(3/3/1)
27949,루비캔터,26전(4/2/6)
27957,용마루,11전(2/2/1)
27996,행주산성,6전(1/0/0)
28001,라이크더윈드,28전(2/1/2)
28006,야후비올라,21전(1/1/3)
28091,미라클원더,16전(7/4/0)
28098,점보스피드,9전(2/1/4)
28107,칼라하리,20전(2/6/1)
28197,배다리퀸,36전(1/3/4)
28223,다이아찬스,11전(3/2/1)
28284,한반도정복,38전(4/3/2)
28303,리틀재규어스,20전(2/4/2)
28322,라온발리,13전(2/4/1)
28341,퀸즈스텝,32전(3/3/3)
28365,허니캠프,11전(1/1/2)
28416,찬란한여명,4전(3/0/0)
28441,볼륨업,23전(3/1/4)
28463,셈바왕,6전(3/1/0)
28468,파인공주,17전(5/3/2)
28482,우승이야기,13전(4/1/2)
28490,신용퀸,16전(3/5/0)
28543,줄라이모닝,9전(3/2/1)
28558,민아,18전(2/0/1)
28571,태산번쩍,11전(5/1/1)
28581,코러스원,30전(1/4/3)
28612,무한신뢰,16전(2/3/2)
28663,이레캣,17전(4/1/3)
28677,스마트퀸,26전(0/3/6)
28678,베스트하이,36전(3/5/4)
28694,샌드퀵,19전(6/1/1)
28705,천년나래,24전(1/9/1)
28740,파티레이나,27전(3/4/2)
28768,리비어덕션,21전(4/3/3)
28774,조광,50전(3/4/5)
28798,선기어,15전(4/2/2)
28867,프리실라,8전(3/1/2)
28962,노블만료,0전(0/0/0)
28964,센서리어스키스,23전(0/0/2)
28965,스털링스트라이드,2전(1/0/0)
